id,pesid,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_principal,causa_acidente,ordem_tipo_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,id_veiculo,tipo_veiculo,marca,ano_fabricacao_veiculo,tipo_envolvido,estado_fisico,idade,sexo,ilesos,feridos_leves,feridos_graves,mortos,latitude,longitude,regional,delegacia,uop,marca_limpa,modelo,gravidade,regiao,hora,periodo
693521,1542113,2025-05-24,sábado,12:35:00,MT,163,865,SINOP,Sim,Ultrapassagem Indevida,4,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta;Aclive,Não,1230230,Caminhão-trator,M.BENZ/ACTROS 2653S,2024,Condutor,Lesões Graves,50,Masculino,0,0,1,0,-11.60308,-55.42807,SPRF-MT,DEL06-MT,UOP02-DEL06-MT,M.BENZ,ACTROS 2653S,Grave,Centro-Oeste,12,Tarde
695987,1547996,2025-06-05,quinta-feira,07:10:00,PE,428,85,SANTA MARIA DA BOA VISTA,Não,Manobra de mudança de faixa,2,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta;Declive,Não,1235011,Motocicleta,HONDA/CG 125 TITAN KSE,0,Passageiro,Lesões Graves,40,Masculino,0,0,1,0,-8.79462,-39.840635,SPRF-PE,DEL06-PE,UOP03-DEL06-PE,HONDA,CG 125 TITAN KSE,Grave,Nordeste,7,Manhã
659125,1485557,2025-01-18,sábado,17:15:00,RR,174,536,BOA VISTA,Sim,Condutor deixou de manter distância do veículo da frente,2,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,1185508,Ônibus,VOLVO/MPOLO PARADISO DD,2015,Passageiro,Ileso,,Feminino,1,0,0,0,3.05651,-60.79826,SPRF-RR,DEL01-RR,UOP01-DEL01-RR,VOLVO,MPOLO PARADISO DD,Sem Feridos,Norte,17,Tarde
657743,1482185,2025-01-27,segunda-feira,17:38:00,CE,116,12,FORTALEZA,Sim,Ausência de reação do condutor,1,Colisão traseira,Com Vítimas Feridas,Anoitecer,Decrescente,Céu Claro,Dupla,Reta,Não,1183000,Automóvel,RENAULT/DUSTER ICO16 CVT,2020,Condutor,Ileso,43,Masculino,1,0,0,0,-3.852077,-38.495525,SPRF-CE,DEL01-CE,UOP02-DEL01-CE,RENAULT,DUSTER ICO16 CVT,Sem Feridos,Nordeste,17,Tarde
660733,1489651,2025-02-11,terça-feira,08:50:00,MG,251,"328,7",FRUTA DE LEITE,Não,Velocidade Incompatível,3,Derramamento de carga,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Curva;Declive,Não,1188585,Caminhão-trator,VOLVO/FH 540 6X4T,2014,Condutor,Lesões Leves,28,Masculino,0,1,0,0,-16.2346643,-42.3810659,SPRF-MG,DEL12-MG,UOP02-DEL12-MG,VOLVO,FH 540 6X4T,Leve,Sudeste,8,Manhã
698806,1554630,2025-06-17,terça-feira,19:55:00,ES,101,"49,7",CONCEICAO DA BARRA,Sim,Condutor deixou de manter distância do veículo da frente,1,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Garoa/Chuvisco,Simples,Rotatória,Sim,1240540,Motocicleta,HONDA/CG 160 TITAN,2023,Condutor,Lesões Leves,51,Feminino,0,1,0,0,-18.58279993,-39.89322679,SPRF-ES,DEL04-ES,UOP02-DEL04-ES,HONDA,CG 160 TITAN,Leve,Sudeste,19,Noite
695579,1546959,2025-06-03,terça-feira,14:15:00,SC,101,150,ITAPEMA,Sim,Acessar a via sem observar a presença dos outros veículos,1,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,1234175,Motocicleta,YAMAHA/FZ15 FAZER ABS,2023,Passageiro,Lesões Graves,22,Masculino,0,0,1,0,-27.11626678,-48.60974345,SPRF-SC,DEL04-SC,UOP03-DEL04-SC,YAMAHA,FZ15 FAZER ABS,Grave,Sul,14,Tarde
692828,1540473,2025-05-21,quarta-feira,19:35:00,PR,277,"517,5",GUARANIACU,Sim,Acessar a via sem observar a presença dos outros veículos,2,Saída de leito carroçável,Sem Vítimas,Plena Noite,Crescente,Chuva,Simples,Reta;Declive,Não,1228906,Automóvel,GM/CORSA WIND,1996,Condutor,Não Informado,,Não Informado,0,0,0,0,-25.1107,-52.8492,SPRF-PR,DEL04-PR,UOP04-DEL04-PR,GM,CORSA WIND,Sem Feridos,Sul,19,Noite
686517,1525052,2025-04-21,segunda-feira,16:40:00,SC,470,"134,7",RIO DO SUL,Sim,Reação tardia ou ineficiente do condutor,1,Engavetamento,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Reta,Sim,1216695,Automóvel,GM/CELTA 2P SPIRIT,2010,Condutor,Ileso,29,Masculino,1,0,0,0,-27.17972,-49.59801,SPRF-SC,DEL04-SC,UOP02-DEL04-SC,GM,CELTA 2P SPIRIT,Sem Feridos,Sul,16,Tarde
694371,1544037,2025-05-29,quinta-feira,04:00:00,TO,235,198,FORTALEZA DO TABOCAO,Sim,Condutor deixou de manter distância do veículo da frente,1,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,1231856,Motocicleta,HONDA/150,0,Passageiro,Lesões Leves,0,Masculino,0,1,0,0,-8.93494037,-48.45324576,SPRF-TO,DEL02-TO,UOP02-DEL02-TO,HONDA,150,Leve,Norte,4,Madrugada
662897,1494949,2025-02-22,sábado,06:00:00,PR,487,"108,3",CRUZEIRO DO OESTE,Sim,Ingestão de álcool pelo condutor,2,Colisão com objeto,Com Vítimas Feridas,Amanhecer,Decrescente,Nublado,Simples,Reta,Não,1192793,Automóvel,CHEV/ONIX 10TAT LT1,2019,Condutor,Ileso,66,Feminino,1,0,0,0,-23.80100732,-53.02503526,SPRF-PR,DEL09-PR,UOP03-DEL09-PR,CHEV,ONIX 10TAT LT1,Sem Feridos,Sul,6,Manhã
666131,1502863,2025-03-09,domingo,10:00:00,MS,163,485,CAMPO GRANDE,Não,Velocidade Incompatível,4,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Aclive;Reta,Não,1198987,Motocicleta,HONDA/CG 160 FAN,2018,Condutor,Lesões Leves,29,Feminino,0,1,0,0,-20.43728,-54.543021,SPRF-MS,DEL01-MS,UOP02-DEL01-MS,HONDA,CG 160 FAN,Leve,Centro-Oeste,10,Manhã
692364,1541221,2025-05-19,segunda-feira,15:14:00,PE,101,48,ABREU E LIMA,Não,Avarias e/ou desgaste excessivo no pneu,2,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Retorno Regulamentado;Reta,Sim,1228013,Motocicleta,HONDA/CG 160 START,2023,Passageiro,Lesões Leves,24,Feminino,0,1,0,0,-7.892915,-34.903258,SPRF-PE,DEL01-PE,UOP02-DEL01-PE,HONDA,CG 160 START,Leve,Nordeste,15,Tarde
657921,1482468,2025-01-28,terça-feira,14:30:00,GO,60,133,GOIANIA,Sim,Ausência de reação do condutor,2,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Declive,Não,1183210,Motocicleta,TRIUMPH/TIGER XCX,2017,Condutor,Lesões Graves,43,Masculino,0,0,1,0,-16.5815,-49.1772,SPRF-GO,DEL01-GO,UOP01-DEL01-GO,TRIUMPH,TIGER XCX,Grave,Centro-Oeste,14,Tarde
667730,1506763,2025-03-16,domingo,18:00:00,PI,407,538,JACOBINA DO PIAUI,Não,Transitar na contramão,2,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Não,1202016,Ciclomotor,I/HAOJIAN AVELLOZ AZ1,2024,Condutor,Lesões Graves,21,Masculino,0,0,1,0,-7.860688,-41.207317,SPRF-PI,DEL04-PI,UOP01-DEL04-PI,I,HAOJIAN AVELLOZ AZ1,Grave,Nordeste,18,Noite
696585,1549335,2025-06-07,sábado,18:15:00,MG,251,206,AGUAS VERMELHAS,Sim,Demais falhas mecânicas ou elétricas,2,Derramamento de carga,Sem Vítimas,Anoitecer,Decrescente,Céu Claro,Simples,Reta,Não,1236144,Caminhão-trator,VOLVO/FH 440 6X2T,2010,Condutor,Ileso,46,Masculino,1,0,0,0,-15.864405,-41.508726,SPRF-MG,DEL12-MG,UOP02-DEL12-MG,VOLVO,FH 440 6X2T,Sem Feridos,Sudeste,18,Noite
663998,1497602,2025-02-27,quinta-feira,11:30:00,RJ,101,12,CAMPOS DOS GOYTACAZES,Sim,Retorno proibido,1,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Interseção de Vias;Reta,Não,1194919,Automóvel,I/FIAT CRONOS DRIVE 1.3,2019,Condutor,Lesões Leves,76,Masculino,0,1,0,0,-21.3213548,-41.3286835,SPRF-RJ,DEL08-RJ,UOP01-DEL08-RJ,I,FIAT CRONOS DRIVE 1.3,Leve,Sudeste,11,Manhã
668908,1509517,2025-03-22,sábado,19:00:00,SC,101,"331,7",TUBARAO,Sim,Ausência de reação do condutor,1,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,Sim,1204262,Caminhonete,I/TOYOTA HILUX CDSRXA4RD,2024,Condutor,Ileso,71,Masculino,1,0,0,0,-28.46530018,-48.99438674,SPRF-SC,DEL02-SC,UOP01-DEL02-SC,I,TOYOTA HILUX CDSRXA4RD,Sem Feridos,Sul,19,Noite
652710,1469882,2025-01-02,quinta-feira,05:30:00,MG,251,457,GRAO MOGOL,Sim,Reação tardia ou ineficiente do condutor,1,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Curva,Não,1173328,Caminhonete,I/TOYOTA HILUX CDSRVA4FD,2017,Passageiro,Lesões Leves,30,Feminino,0,1,0,0,-16.41138662,-43.37539673,SPRF-MG,DEL12-MG,UOP01-DEL12-MG,I,TOYOTA HILUX CDSRVA4FD,Leve,Sudeste,5,Manhã
700450,1558740,2025-06-25,quarta-feira,15:10:00,RN,101,"68,7",EXTREMOZ,Sim,Mal súbito do condutor,1,Colisão frontal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,1243816,Caminhão,VOLVO/VM 270 6X2R,2019,Condutor,Ileso,50,Masculino,1,0,0,0,-5.670147,-35.257178,SPRF-RN,DEL02-RN,UOP01-DEL02-RN,VOLVO,VM 270 6X2R,Sem Feridos,Nordeste,15,Tarde
698956,1555003,2025-06-13,sexta-feira,12:50:00,BA,324,548,AMELIA RODRIGUES,Sim,Ausência de reação do condutor,1,Engavetamento,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Reta,Não,1240850,Automóvel,VW/GOL 1.0 GIV,2008,Condutor,Ileso,59,Masculino,1,0,0,0,-12.47596738,-38.67565155,SPRF-BA,DEL01-BA,UOP03-DEL01-BA,VW,GOL 1.0 GIV,Sem Feridos,Nordeste,12,Tarde
658347,1483658,2025-01-30,quinta-feira,19:45:00,MT,364,"579,9",DIAMANTINO,Sim,Reação tardia ou ineficiente do condutor,2,Tombamento,Com Vítimas Feridas,Plena Noite,Decrescente,Chuva,Dupla,Reta;Declive,Não,1184102,Caminhão-trator,SCANIA/T113 H 4X2 360,1992,Condutor,Lesões Leves,54,Masculino,0,1,0,0,-14.66298789,-56.29936934,SPRF-MT,DEL01-MT,UOP01-DEL01-MT,SCANIA,T113 H 4X2 360,Leve,Centro-Oeste,19,Noite
700639,1559376,2025-06-26,quinta-feira,14:20:00,SP,116,218,GUARULHOS,Sim,Trafegar com motocicleta (ou similar) entre as faixas,2,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Sim,1244306,Motocicleta,HONDA/CG 160 START,2022,Condutor,Lesões Leves,32,Masculino,0,1,0,0,-23.460637,-46.488197,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,HONDA,CG 160 START,Leve,Sudeste,14,Tarde
669820,1512065,2025-03-27,quinta-feira,09:15:00,RN,101,95,NATAL,Sim,Condutor deixou de manter distância do veículo da frente,1,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Sim,1206250,Automóvel,VW/FOX 1.6 GII,2012,Condutor,Ileso,39,Masculino,1,0,0,0,-5.84252132,-35.20959377,SPRF-RN,DEL01-RN,UOP01-DEL01-RN,VW,FOX 1.6 GII,Sem Feridos,Nordeste,9,Manhã
686136,1524060,2025-04-20,domingo,08:45:00,SP,153,"83,6",MIRASSOL,Sim,Reação tardia ou ineficiente do condutor,1,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Aclive,Não,,,,,Testemunha,Não Informado,,Não Informado,0,0,0,0,-20.926547,-49.50951,SPRF-SP,DEL09-SP,UOP01-DEL09-SP,,,Sem Feridos,Sudeste,8,Manhã
663822,1497144,2025-02-26,quarta-feira,10:00:00,RJ,101,286,ITABORAI,Não,Reação tardia ou ineficiente do condutor,3,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Não,1194568,Automóvel,CHEV/SPIN 1.8L AT ACT7,2018,Condutor,Lesões Leves,50,Masculino,0,1,0,0,-22.75917478,-42.8403643,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,CHEV,SPIN 1.8L AT ACT7,Leve,Sudeste,10,Manhã
700132,,2025-06-24,terça-feira,02:55:00,MG,381,"688,1",LAVRAS,Não,Reação tardia ou ineficiente do condutor,2,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Dupla,Curva;Declive,Não,1243151,Semireboque,SR/DAMBROZ EA113E,1999,,,,,,,,,-21.21737985,-45.1265452,SPRF-MG,DEL04-MG,UOP02-DEL04-MG,SR,DAMBROZ EA113E,Sem Feridos,Sudeste,2,Madrugada
687728,1528134,2025-04-27,domingo,01:00:00,SC,280,"30,1",ARAQUARI,Sim,Ingestão de álcool pelo condutor,1,Saída de leito carroçável,Sem Vítimas,Plena Noite,Decrescente,Ignorado,Simples,Reta,Não,1219024,Caminhonete,FIAT/FIORINO HD WK E,2019,Condutor,Ileso,33,Masculino,1,0,0,0,-26.44794451,-48.84565734,SPRF-SC,DEL03-SC,UOP03-DEL03-SC,FIAT,FIORINO HD WK E,Sem Feridos,Sul,1,Madrugada
659392,1486395,2025-02-02,domingo,06:00:00,SC,116,"216,9",PONTE ALTA,Não,Velocidade Incompatível,1,Saída de leito carroçável,Com Vítimas Feridas,Amanhecer,Decrescente,Nublado,Simples,Curva,Não,1186048,Automóvel,HONDA/CIVIC LXS,2007,Condutor,Lesões Leves,28,Masculino,0,1,0,0,-27.54634396,-50.3770563,SPRF-SC,DEL05-SC,UOP03-DEL05-SC,HONDA,CIVIC LXS,Leve,Sul,6,Manhã
673171,1519652,2025-04-12,sábado,11:35:00,PR,277,303,PRUDENTOPOLIS,Sim,Acesso irregular,1,Colisão transversal,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,1212618,Camioneta,FIAT/PULSE ABARTH 270,2023,Passageiro,Ileso,29,Feminino,1,0,0,0,-25.31242906,-51.17251104,SPRF-PR,DEL08-PR,UOP01-DEL08-PR,FIAT,PULSE ABARTH 270,Sem Feridos,Sul,11,Manhã
690898,1540599,2025-05-12,segunda-feira,19:30:00,DF,40,"1,6",BRASILIA,Não,Reação tardia ou ineficiente do condutor,2,Tombamento,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Sim,1228862,Semireboque,,0,Condutor,Não Informado,,Não Informado,0,0,0,0,-15.990968,-47.986707,SPRF-DF,DEL01-DF,UOP01-DEL01-DF,,,Sem Feridos,Centro-Oeste,19,Noite
692202,1540793,2025-05-18,domingo,22:30:00,CE,116,298,JAGUARIBE,Sim,Ingestão de álcool pelo condutor,1,Colisão lateral sentido oposto,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,1227686,Ônibus,SCANIA/BUSSCAR J B 400 R,2000,Passageiro,Ileso,,Feminino,1,0,0,0,-5.838956,-38.559692,SPRF-CE,DEL05-CE,UOP02-DEL05-CE,SCANIA,BUSSCAR J B 400 R,Sem Feridos,Nordeste,22,Noite
696332,1548993,2025-06-06,sexta-feira,19:15:00,SP,116,408,MIRACATU,Sim,Ausência de reação do condutor,1,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Chuva,Simples,Reta,Sim,1235822,Automóvel,GM/CORSA WIND,1999,Condutor,Ileso,23,Feminino,1,0,0,0,-24.32707654,-47.56547928,SPRF-SP,DEL05-SP,UOP01-DEL05-SP,GM,CORSA WIND,Sem Feridos,Sudeste,19,Noite
652635,1469921,2025-01-01,quarta-feira,18:22:00,CE,116,68,CHOROZINHO,Sim,Transitar na contramão,2,Colisão frontal,Com Vítimas Fatais,Anoitecer,Decrescente,Céu Claro,Simples,Reta,Não,1173270,Utilitário,I/TOYOTA HILUX SWSRXA4FD,2017,Condutor,Não Informado,,Não Informado,0,0,0,0,-4.3140702,-38.49723925,SPRF-CE,DEL01-CE,UOP02-DEL01-CE,I,TOYOTA HILUX SWSRXA4FD,Sem Feridos,Nordeste,18,Noite
672189,1517282,2025-04-03,quinta-feira,07:30:00,PA,155,70,RIO MARIA,Sim,Reação tardia ou ineficiente do condutor,1,Saída de leito carroçável,Sem Vítimas,Pleno dia,Crescente,Ignorado,Simples,Reta,Não,1210623,Caminhão-trator,DAF/XF FTS 480,2022,Condutor,Ileso,,Masculino,1,0,0,0,-7.3853391,-50.04110858,SPRF-PA,DEL03-PA,UOP01-DEL03-PA,DAF,XF FTS 480,Sem Feridos,Norte,7,Manhã
656259,1478325,2025-01-20,segunda-feira,12:28:00,PE,232,"7,8",RECIFE,Sim,Condutor deixou de manter distância do veículo da frente,3,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Não,1180181,Motocicleta,YAMAHA/FZ15 FAZER ABS,2022,Condutor,Lesões Leves,34,Masculino,0,1,0,0,-8.07333497,-34.96184301,SPRF-PE,DEL01-PE,UOP01-DEL01-PE,YAMAHA,FZ15 FAZER ABS,Leve,Nordeste,12,Tarde
695988,,2025-03-30,domingo,17:00:00,BA,242,267,BOA VISTA DO TUPIM,Não,Velocidade Incompatível,2,Saída de leito carroçável,Com Vítimas Fatais,Anoitecer,Decrescente,Céu Claro,Simples,Reta;Declive,Não,1234932,Semireboque,SR/GUERRA AG GR,2004,,,,,,,,,-12.453237,-40.593145,SPRF-BA,DEL06-BA,UOP02-DEL06-BA,SR,GUERRA AG GR,Sem Feridos,Nordeste,17,Tarde
687459,1527537,2025-04-26,sábado,13:12:00,PE,104,66,CARUARU,Sim,Condutor deixou de manter distância do veículo da frente,1,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta;Viaduto;Aclive,Sim,1218575,Motocicleta,HONDA/CG 125 FAN KS,2011,Condutor,Lesões Leves,35,Masculino,0,1,0,0,-8.28646,-35.98375,SPRF-PE,DEL02-PE,UOP01-DEL02-PE,HONDA,CG 125 FAN KS,Leve,Nordeste,13,Tarde
687928,1528628,2025-04-28,segunda-feira,19:15:00,GO,60,378,RIO VERDE,Não,Manobra de mudança de faixa,3,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta;Retorno Regulamentado,Não,1219396,Automóvel,FIAT/PALIO FIRE ECONOMY,2010,Condutor,Ileso,25,Masculino,1,0,0,0,-17.77696273,-50.89068035,SPRF-GO,DEL04-GO,UOP02-DEL04-GO,FIAT,PALIO FIRE ECONOMY,Sem Feridos,Centro-Oeste,19,Noite
690154,1534088,2025-05-09,sexta-feira,20:15:00,PA,10,17,DOM ELISEU,Não,Acesso irregular,1,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta;Retorno Regulamentado;Rotatória;Interseção de Vias,Sim,1223732,Motocicleta,HONDA/POP 110I ES,2025,Condutor,Lesões Graves,22,Masculino,0,0,1,0,-4.29303132,-47.55706284,SPRF-PA,DEL02-PA,UOP02-DEL02-PA,HONDA,POP 110I ES,Grave,Norte,20,Noite
671873,1516568,2025-04-06,domingo,00:30:00,RN,304,105,ACU,Sim,Condutor deixou de manter distância do veículo da frente,1,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,1210103,Motocicleta,,0,Condutor,Lesões Leves,37,Masculino,0,1,0,0,-5.58731446,-36.98324941,SPRF-RN,DEL04-RN,UOP01-DEL04-RN,,,Leve,Nordeste,0,Madrugada
661405,1491393,2025-02-14,sexta-feira,08:45:00,SC,101,121,ITAJAI,Sim,Reação tardia ou ineficiente do condutor,1,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,1189913,Motocicleta,HONDA/CBX 250 TWISTER,0,Condutor,Lesões Leves,23,Masculino,0,1,0,0,-26.92103178,-48.70856446,SPRF-SC,DEL04-SC,UOP04-DEL04-SC,HONDA,CBX 250 TWISTER,Leve,Sul,8,Manhã
668712,1509253,2025-03-21,sexta-feira,19:50:00,MG,381,646,SANTO ANTONIO DO AMPARO,Sim,Velocidade Incompatível,2,Colisão com objeto,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Dupla,Curva,Não,1204061,Automóvel,FIAT/PALIO WK ADVEN FLEX,2005,Passageiro,Ileso,22,Masculino,1,0,0,0,-20.95419583,-44.88704681,SPRF-MG,DEL04-MG,UOP02-DEL04-MG,FIAT,PALIO WK ADVEN FLEX,Sem Feridos,Sudeste,19,Noite
